Data,Sucesso,Beta0,Beta1,Beta2,Beta3,Tau1,Tau2,Custo,NumTitulos,OutliersRemovidos,UsouPreviousParams,Reotimizado,ErroMensagem
2024-01-01,false,,,,,,,,0,0,false,false,Dados insuficientes (<3 títulos)
2024-01-02,true,0.08322536781781427,0.03445278716065618,-0.038998650621734125,0.06300593065560586,0.664775938816329,5.165451582647664,1.4042975458183302,15,0,true,false,
2024-01-03,true,0.1145624045877398,0.0030951866802598634,-0.07389708158352314,-0.0732682542615855,0.8339110852349544,50.047999999999995,1.4977080957590811,15,1,true,false,
2024-01-04,true,0.009710000000000002,0.10731573010659219,0.2992708389356953,-0.2004,4.325284778646636,1.9520000000000002,7.213185292787913,15,1,true,false,
2024-01-05,true,0.05534085461399839,0.06173230306393542,0.2325306284857014,-0.2004,3.7319363213462964,1.9520000000000002,7.721635981174057,16,0,true,false,
2024-01-08,true,0.09893555391551763,0.018709150047296123,-0.06879982146218558,0.035830857480140046,0.9151189479862312,3.408222354852887,1.244524297447794,16,0,true,false,
2024-01-09,true,0.11584025178988736,0.0018004373538343269,-0.07372581750245988,-0.03059013733959344,0.9029944496528393,24.16949734506099,1.5078739438301068,17,0,true,false,
2024-01-10,true,0.11644402382588029,0.0011894995947848341,-0.07428538678612702,-0.05357473115819861,0.9125909244327487,50.04799999998923,1.6185856932389018,17,0,true,false,
2024-01-11,true,0.08334743596475033,0.0343214417105908,-0.03008058127091016,0.07311596486596632,0.6229530413701794,7.0285097544546415,2.259475067499798,19,1,true,false,
2024-01-12,true,0.07013938984106143,0.04753025740611984,-0.006575599712405493,0.10937029267229297,0.48050000000000004,6.197973142767813,2.86458379837306,19,1,true,false,
2024-01-15,true,0.0664350042520048,0.050715220954325214,0.2142875260281209,-0.2004,3.4939908686045564,1.9520000000000002,7.484200876470965,19,0,true,false,
2024-01-16,true,0.11348109086374213,0.004146155754419443,-0.07170032997061342,-0.0360032773825314,0.923078732474545,50.04799999995072,3.234147608858105,18,0,true,false,
2024-01-17,true,0.11158314081545409,0.006038685581891108,-0.06800003989786661,-0.0168625813852835,0.8636995172952395,50.04799999783268,3.2974145752672204,18,0,true,false,
2024-01-18,true,0.07675804310726884,0.04092800985980706,-0.015488195838679622,0.09430561760071836,0.48050000000000004,6.659454370664906,2.4612861467922094,19,0,true,false,
2024-01-19,true,0.11394153897055617,0.003695685967050188,-0.07153268299914281,-0.02757458281736647,0.8436898693143546,50.04799999660849,2.3488936158217477,18,1,true,false,
2024-01-22,true,0.1141868260023615,0.003444189764135164,-0.07193520880961876,-0.03341960791390644,0.8516206979224287,50.04799999976788,2.27220006385857,19,1,true,false,
2024-01-23,true,0.1116278841665922,0.006021897511892777,-0.06708140921165946,-0.01649897956544067,0.78609790634516,50.0479999999881,2.405058009419794,19,0,true,false,
2024-01-24,true,0.08058249357191813,0.037104323248055536,-0.027155120522266162,0.08296527040948874,0.5467839049999149,6.386194059377761,2.282487244918533,18,0,true,false,
2024-01-25,true,0.11303889026343339,0.004603657502521837,-0.07101371117072824,-0.028546910735888217,0.8220208944339581,50.04799999238534,1.5027699228607139,18,0,true,false,
2024-01-26,true,0.05190306506736717,0.06517443135464811,0.24025218886452018,-0.2004,3.838375992768333,1.9520000000000002,8.51573211246097,19,0,true,false,
2024-01-29,true,0.0722293709397147,0.045468171667093445,-0.014929301328884384,0.10423400720387177,0.48050000000000004,6.139832835978375,2.076217417478004,19,1,true,false,
2024-01-30,true,0.1203153659727136,-0.002703527137586201,-0.08229642528526572,-0.09215511159608111,0.944645644498097,50.047999999847654,2.9504501830968297,18,1,true,false,
2024-01-31,true,0.11488912896276841,0.0027646442212889946,-0.07540276968552787,-0.049048410450521364,0.8280190642525873,50.047999999999995,1.497632677276765,19,0,true,false,
2024-02-01,true,0.06868401062303466,0.043552138901178004,0.2228763361223214,-0.2004,3.321170326864661,1.9520000000000002,5.075244695984681,19,1,true,false,
2024-02-02,true,0.06738353845093516,0.04490355232674632,0.22386431296102818,-0.2004,3.3472127615209777,1.9520000000000002,3.9182004943361863,19,0,true,false,
2024-02-05,true,0.07103312716255707,0.04161205316428347,-0.003887290546522621,0.10531228228711274,0.48050000000000004,6.24288890782858,0.4142720971835394,18,0,true,false,
2024-02-06,true,0.11847089670733414,-0.005837411754028918,-0.0685941569677525,-0.030427318155018424,0.8866152066322954,11.126922672995534,0.6440839040251279,19,0,true,false,
2024-02-07,true,0.06466741737535331,0.047978102617698914,-0.0004046682276836302,0.1241602749484082,0.48050000000000004,5.601281726458498,2.2556462511269575,19,0,true,false,
2024-02-08,true,0.1211489979225485,-0.008532091884351604,-0.07563031144653201,-0.10563644127443392,0.9732684095153619,50.047999999999995,1.1004340237069656,19,1,true,false,
2024-02-09,true,0.11217492957629023,0.0004451037855764538,-0.0611731791504205,-0.02680543097673251,0.8435881278475785,50.047999999243785,1.0535674070046972,19,0,true,false,
2024-02-12,false,,,,,,,,0,0,false,false,Dados insuficientes (<3 títulos)
2024-02-13,false,,,,,,,,0,0,false,false,Dados insuficientes (<3 títulos)
2024-02-14,true,0.18180284145187875,-0.06918181463818601,-0.1152728167974356,-0.2004,1.0456154575178678,7.41990762670321,1.524410525169337,18,0,true,false,
2024-02-15,true,0.10791609555234842,0.00472538978022599,-0.054794118536307036,0.011162817140284121,0.7399372810356217,50.04799999337665,1.1001158791726133,18,0,true,false,
2024-02-16,true,0.11261892379459969,3.813462684334279e-6,-0.06125767048327943,-0.025011186671589233,0.8246433893236359,50.04799999737637,1.0133281862628054,18,0,true,false,
